"iduser";"pseudo";"name";"surname";"idusershare";"pseudoshare";"nameshare";"surnameshare";"idtrack";"nametrack"
339;Paul2;Bazin;Paul;498;Roméo6;Legrand;Roméo;"002pwKuZwcQPu6Ahbo7xY7";Only U
301;Ethan3;Lefort;Ethan;286;Bastien3;Francois;Bastien;"03B3mFPQp1LuvEQY5mbzd1";Attendez-moi
86;Timéo;Marin;Timéo;30;Kevin;Delahaye;Kevin;"09mBPwUMt1TXNtneqvmZZ5";Ordinary Life
196;Lucie2;Masse;Lucie;103;Yohan2;Mary;Yohan;"0ApkFFU362NocXTexqWPYn";Sunshine
435;Maxence6;Delmas;Maxence;286;Bastien3;Francois;Bastien;"0CCCp8BZ0RR3CQWwRMJ3HZ";Tropical
341;Erwan2;Martin;Erwan;22;Grégory;Dupond;Grégory;"0DcskySeHQdOjzJJvF5DeI";URGENCE
81;Kilian2;Roques;Kilian;33;Alexis;Boulet;Alexis;"0FLU33MlpC7MqAzBX16xOj";Tu m'étais destinée
164;Tristan;Comte;Tristan;228;Lorenzo2;Brault;Lorenzo;"0GVKrtG7QqEYBGOAspofCW";BLA BLA BLA
482;Leonard;Leonard;"";435;Maxence6;Delmas;Maxence;"0Gb6pfKdfoQ17jUqx1Yohc";Wildcard
265;Quentin3;Vincent;Quentin;164;Tristan;Comte;Tristan;"0GuSAoQ8qoUehpTxFhJpEd";DERNIERE CHANCE
92;Adrien;Martineau;Adrien;339;Paul2;Bazin;Paul;"0H5JKQ7qQ5MBeRSZSieZsM";Mauvais ordre
92;Adrien;Martineau;Adrien;137;Louis;Tessier;Louis;"0IKcfWRromR7MFjUJgWTQH";Notif
496;Noah7;Charpentier;Noah;186;Julia;Guillot;Julia;"0JAxf6vf8Lppihm55k13zv";Pantera
275;Élouan3;Prevot;Élouan;97;Bruno2;Monier;Bruno;"0KtKLd7bwcDB60ShCtEGbY";HORIZON
254;Valentin2;Favier;Valentin;492;Regnier5;Regnier;"";"0OBwkVfgXXZYE5UNCafxaq";Train de vie
108;Constant;Guillon;Constant;437;Léo2;Millet;Léo;"0PJgFaAWrXDlG7P3IFleU4";Je cours - 2023 Remaster
132;Breton;Breton;"";482;Leonard;Leonard;"";"0RfR52Id3VEhcL7CnJLPlQ";$
190;Dumas;Dumas;"";38;Cédric2;Lacoste;Cédric;"0RlBQOKhSIpAFmn2MbSH6j";No God
338;Renaud5;Laine;Renaud;341;Erwan2;Martin;Erwan;"0Rx4Y2df6Ic3KVZA8nTmtr";FROSTIES
301;Ethan3;Lefort;Ethan;97;Bruno2;Monier;Bruno;"0UEZe6jFaNGhOVICGivbzr";Le sang
497;Élouan6;Langlois;Élouan;453;Lana;Wagner;Lana;"0Xh6R6XLoTDRBYriQRgkHj";Memories (feat. Kid Cudi)
288;Simon7;Leclercq;Simon;108;Constant;Guillon;Constant;"0ZAVcM3EjjXczjA8iOa0dR";Toi & moi
203;Lily;Poirier;Lily;360;Mattéo3;Bourgeois;Mattéo;"0ZKi6Khl1E9EoOQadSXN5m";Prêt à partir (feat. Ninho)
212;Kyllian;Vial;Kyllian;413;Romane;Petit;Romane;"0aXmmrsk2ZcnAlclHqkJCD";Branché sur snap
498;Roméo6;Legrand;Roméo;467;Constant2;Schneider;Constant;"0aXmmrsk2ZcnAlclHqkJCD";Branché sur snap
275;Élouan3;Prevot;Élouan;343;Gabriel3;Gerard;Gabriel;"0ba3E5awT0IGhCVAOTxSMu";Blue Christmas
344;Mathéo6;Brunet;Mathéo;195;Agathe;Le corre;Agathe;"0cGG2EouYCEEC3xfa0tDFV";Tainted Love
229;Thibault;Richard;Thibault;118;Renaud2;Maurice;Renaud;"0f3DsHmOK9nzTiVU1Vvbil";JOHN GOTTI (feat. Baby Gang)
118;Renaud2;Maurice;Renaud;135;Corentin;Pujol;Corentin;"0hU1Poyh9Y1XsUVc8OSA9Z";On verra
97;Bruno2;Monier;Bruno;262;Sarah;Lejeune;Sarah;"0hmqJkEa0d3PIX6OMopypH";Outro
